pm,src,dst
3409,6719062356,346637768
4739,335390876,346637771
4740,6796630918,622424078
4741,6796630918,319952733
4742,35915792,6796630918
4743,35915792,6796630918
4744,305750573,2304484674
4746,35915755,2304484638
4747,265981553,265981556
4748,6945291300,35915703
4749,35915740,2304484549
4750,21787726,21784405
4751,21784365,21784377
3566,21784377,21784365
3567,21784864,21784405
3568,21784405,21786134
4752,21784405,21786134
4754,21782721,21782731
4758,21787373,21787380
4759,347479869,319953089
4760,871308659,305397170
4761,255883289,21702026
4762,305397075,335389793
4763,368368432,346636655
4764,335389765,305397170
4766,6739234218,1613001788
4767,255883291,1417820356
4768,255883291,1417820356
4769,255883293,255883291
4771,6216162280,6216162271
10226,255883273,1651680288
10225,255883273,1651680288
10228,255883312,6216163187
4755,302684708,302684822
4745,302684826,35915792
4753,21782816,21782825
4756,347475627,302684505
10236,6216162280,6216162271
10237,255883311,255883315
4770,1651680288,6216163186
10227,6216163187,255883312
4772,255883366,255883315
4757,21786242,21786187
4765,335389765,305397170
4778,1437056473,1437056475
4802,1898455129,1437056470
4803,306030696,1447053025
4794,306031683,306031583
4808,26282198,26282195
4809,26281607,248791389
4810,316439049,316438306
4811,316433688,306257967
4812,306258427,306258375
4813,248842307,1745478175
4818,306258537,1737125888
4819,381316420,3136517527
10568,248791201,248790762
10569,248790606,1740618009
4822,26281566,26281575
4823,248792729,248846144
3569,344189734,26281596
4824,21318730,21318743
4825,3383582951,401244692
4826,26280689,306165953
4827,26280688,6433898327
4828,248792514,248792088
4829,26191215,26280683
3802,26280682,26280688
3803,26205250,26280681
4830,306165764,306165650
4831,26281590,26281596
4832,1846807181,316441262
4833,303149445,318944264
4834,1845226928,302358619
4835,5107433447,5107433442
4836,315211934,1736603378
4837,26082474,26191215
10286,248791274,1745479022
10288,248791197,248792096
10287,248792095,248790111
10289,248790111,248792228
10492,248792229,248841822
10493,248792229,248841822
10494,1745478844,1745478836
10284,27553242,27553253
10285,27553253,26280682
4817,248795438,248795118
4838,316439338,3547342415
4820,248792728,248792729
4821,248790293,26281607
4839,3517278493,381314949
4840,248807828,449984910
4841,5347117350,5347117374
3623,248807823,306259633
3624,306358189,384846844
4842,552805249,306256651
6825,248804136,306256545
7001,306359203,306359056
4845,565506251,306359023
4846,248804947,248849672
4847,306256006,306359030
4848,306256265,306255989
4849,3471359514,343315923
4850,248802832,248801691
4851,248805766,789379924
4852,306266901,248806305
4853,5347116819,3517277610
4854,248804140,248801690
4855,248801690,248804140
4856,458101046,458100722
7000,248849512,306256051
4843,457475265,316211589
10514,244956402,201680855
10522,264063265,268761248
10520,266035639,264063265
10521,268774055,264063265
4860,244956328,244956333
10519,25695587,25695618
10517,25695618,258358404
10518,256261473,256435213
10516,25695574,259499787
10515,259500130,259499782
10513,244956312,30914761
4869,30833415,201680925
4870,30833415,262633843
4871,30833415,262772709
5220,256227266,264061281
4882,268772959,244956423
4883,30833427,270497317
4885,264061665,30914762
4886,268771126,264061665
4887,1583551077,299923601
4888,266988537,266988536
4889,266456262,8818124352
3625,266363094,266363088
3626,266456318,266456264
3627,266456318,266456264
4890,266363088,266363094
4858,259499786,259499787
5203,259499787,258358992
4861,244956333,244956340
4859,3382277233,244956333
4867,276698442,276698441
4868,292703207,292702537
3419,256211145,201681056
4891,1180513691,256211149
10523,31002124,264503507
10524,264346780,264346786
10526,31072681,264346995
10525,317405554,317162635
6635,30834092,319165223
6636,319165518,325203452
6637,21678442,266158339
6638,1492746088,30834086
4878,264346779,31002119
4879,31002124,264504559
4880,264503917,264504419
5204,31002119,276695109
4881,264062965,31002121
5219,276695117,293134784
5217,276695117,293134784
5218,5422432685,31002122
10108,264502919,30914767
10106,30914764,30914765
10104,30914765,244956347
10107,30914765,31002110
4866,30914767,30914765
10512,264504625,31002122
4872,25695676,244956381
4873,25695779,261697058
4877,256435273,201680994
4874,25695618,256408801
4875,256303458,256408801
4884,25695779,261697058
4862,30914765,30914767
4863,30914764,30914765
10105,244956347,30914765
4865,30914765,31002110
3835,30834092,319165372
6632,319165388,6443649159
6631,319165347,319165346
6633,325203440,319165408
6634,325203446,325203452
3570,259500130,259499782
4857,259500131,25695779
4895,22528401,21702211
4896,21797501,22528401
4897,8552056710,21702209
4898,50640447,302687979
4899,21721553,50640311
4900,622204539,21721553
4901,301681690,21721532
4902,301681690,21721532
4912,283471821,21702260
4909,21702221,49429536
4913,21702227,21702209
4914,50640456,302688016
4917,302687973,21721554
4916,622204539,21721553
4892,27637668,27637672
4893,27637672,659939060
4910,21702218,21702221
4911,21721564,302688034
6831,21721564,27637597
4915,50640311,50565055
4922,22530061,22530065
4923,22550408,22547329
10684,21702886,21702889
10683,21702886,21702889
4926,22557828,22559637
4927,1981914415,4057434154
4929,22559770,301681888
4930,22559600,22560768
4931,316228578,22561247
4932,22564143,22563415
4933,541399270,22559615
4934,1329857192,259645630
10601,316228578,22561247
